observation_date,Price,Open,High,Low,Change %,Change_Return,Oil_Price,Gold_Price,SharePrice_UK,SharePrice_Switzerland,GDP_UK,GDP_Switzerland,Interest_Rate_Switzerland,Interest_Rate_UK,CPI_UK,CPI_Switzerland,Volatility Index
1/1/2021,1.21,1.2104,1.2264,1.2104,-0.02,-2,47.47,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,26.97
2/1/2021,1.21,1.2104,1.2264,1.2104,-0.02,-2,47.47,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,26.97
3/1/2021,1.21,1.2104,1.2264,1.2104,-0.02,-2,47.47,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,26.97
4/1/2021,1.1958,1.2098,1.2112,1.1929,-1.17,-117,47.47,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,26.97
5/1/2021,1.1963,1.1964,1.1984,1.1921,0.04,4,49.78,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,25.34
6/1/2021,1.1951,1.197,1.1991,1.1913,-0.1,-10,50.45,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,25.07
7/1/2021,1.2005,1.1955,1.2022,1.1931,0.45,45,50.63,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,22.37
8/1/2021,1.2009,1.201,1.206,1.1987,0.03,3,52.14,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,21.56
9/1/2021,1.2009,1.201,1.206,1.1987,0.03,3,52.14,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,21.56
10/1/2021,1.2009,1.201,1.206,1.1987,0.03,3,52.14,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,21.56
11/1/2021,1.2031,1.2005,1.204,1.1967,0.18,18,52.15,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,24.08
12/1/2021,1.2111,1.2033,1.2134,1.2023,0.66,66,53.08,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,23.33
13/1/2021,1.2104,1.2115,1.2168,1.2089,-0.06,-6,52.81,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,22.21
14/1/2021,1.2154,1.2111,1.2166,1.2094,0.41,41,53.47,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,23.25
15/1/2021,1.2101,1.2157,1.2171,1.2075,-0.44,-44,52.25,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,24.34
16/1/2021,1.2101,1.2157,1.2171,1.2075,-0.44,-44,52.25,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,24.34
17/1/2021,1.2101,1.2157,1.2171,1.2075,-0.44,-44,52.25,72.8,101.4009,126.0927,-1.07616295,0.719036789,-0.454,0.3672,0.93,-0.5442919,24.34
